ref_no,name,description,category,rate,hsn_code,gst_rate
1373,1300 A2 1.5 8,,Bio Safety Cabinets,2530311,84212190,0.18
1376,1300 A2 SS 1.2 10in window 230V package,,Bio Safety Cabinets,1596420,84212190,0.18
1378,1300 A2 SS 1.8 10in window 230V package,,Bio Safety Cabinets,2049326.9999999998,84212190,0.18
1381,1300 A2 1.5 10,,Bio Safety Cabinets,2171190,84212190,0.18
1383,1300 A2 SS 1.5 10,,Bio Safety Cabinets,2211321,84212190,0.18
1386,1300 Series A2 4ft - Factory Install UV- Adjustable Height Stand- Armrest 10in window - 220V/50Hz,,Bio Safety Cabinets,1542471,84212190,0.18
1388,1300 Series A2 6ft - Factory Install UV- Adjustable Height Stand- Armrest 10in window - 220V/50Hz,,Bio Safety Cabinets,1612296,84212190,0.18
1390,1300 A2 0.9 8,,Bio Safety Cabinets,1594803,84212190,0.18
1391,"1300 A2 0.9 8"" 230V PACKAGE",,Bio Safety Cabinets,1732542,84212190,0.18
1392,1300 A2 S/S 0.9 8,,Bio Safety Cabinets,1681827,84212190,0.18
1393,1300 A2 SS 0.9 8,,Bio Safety Cabinets,1430898,84212190,0.18
1518M,1500 B2 4ft BSC w/UV 230V M,,Bio Safety Cabinets,4740750,84212190,0.18
1563,1500 B2 6ft BSC 230V(Ch/Au) UV,,Bio Safety Cabinets,5287002,84212190,0.18
1565,1500 B2 6ft BSC w UV 230V NEMA,,Bio Safety Cabinets,5631864,84212190,0.18
1565M,1500 B2 6ft BSC w/UV 230V M,,Bio Safety Cabinets,3679409.9999999995,84212190,0.18
1910083,Rear wall clips for securing tubing and,,Bio Safety Cabinets,17052,84799090,0.18
1910112,Replacement SmartPort; 4 per kit,,Bio Safety Cabinets,10290,84799090,0.18
1910179,Hanging shelf for base stand,,Bio Safety Cabinets,28811.999999999996,84799090,0.18
1910185,Alnor exhaust alarm for 1300 A2 QI,,Bio Safety Cabinets,236816.99999999997,84799090,0.18
191127,ADJ FOOTREST BSC,,Bio Safety Cabinets,43365,84799090,0.18
1911302,Manual Adjustable stand- 4 foot cabinet- 28 to 36in in 1in increments,,Bio Safety Cabinets,93786,84799090,0.18
1911303,Manual Adjustable stand- 6 foot cabinet- 28 to 36in in 1in increments,,Bio Safety Cabinets,139650,84799090,0.18
1911304,Combustable gas tap- short,,Bio Safety Cabinets,18522,84799090,0.18
1911305,Noncombustable gas tap- short,,Bio Safety Cabinets,17934,84799090,0.18
1911306,Vacuum valve tap- short,,Bio Safety Cabinets,17640,84799090,0.18
1911307,Water valve tap- short,,Bio Safety Cabinets,17640,84799090,0.18
1911308,Combustable gas tap- long,,Bio Safety Cabinets,20433,84799090,0.18
1911309,Noncombustable gas tap- long,,Bio Safety Cabinets,18669,84799090,0.18
1911310,Vacuum valve tap- long,,Bio Safety Cabinets,16464,84799090,0.18
1911311,Water valve tap- long,,Bio Safety Cabinets,19992,84799090,0.18
1911312,IV Bag Holder Kit with 12 hooks,,Bio Safety Cabinets,26313,84799090,0.18
1911313,Stainless Steel Armrest (set of 2),,Bio Safety Cabinets,18081,84799090,0.18
1911314,4ft Direct Duct Exhaust Transition,,Bio Safety Cabinets,267099,84799090,0.18
1911315,6ft Direct Duct Exhaust Transition,,Bio Safety Cabinets,302967,84212190,0.18
1911316,4ft Thimble Duct Exhaust Transition,,Bio Safety Cabinets,84378,84799090,0.18
1911317,6ft Thimble Duct Exhaust Transition,,Bio Safety Cabinets,98784,84799090,0.18
